Sample,Sample Code,Location,region,variety,Life_S,car_per,D2S6S,DA1070,DA2S,DA930,G2S,G4S,S,Kappa_Index,Iota_Index,Lambda_Index,Dominant_Type_New
Lab_14,R02,Caro Caido,Marcona,C.Cham,Carp,0.629862306,0.3474636589951951,2.0389146266228937,0.4627959949676158,1.386629740201082,0.48568982025484214,1.22094135833421,1.0575648006241618,0.6680049585844275,0.4737840369224432,0.2134364258422387,Kappa
Lab_15,R03,Caro Caido,Marcona,C.Cham,Gam,0.521604301,0.43196107082307506,1.9696626623494855,0.49672726904385095,1.523137070047824,0.5929094403919544,1.214355922428551,0.7712465649152591,0.6427411714257298,0.47424777889729886,0.24063129102008818,Kappa
Lab_16,R01,7H,Marcona,F. Glom,Carp,0.444302571,0.2628083991217318,2.0551483987622694,0.3781837978008685,1.3843290902027199,0.4059292332592454,1.166603547413803,1.3469975334393616,0.7090150377270616,0.4898789263796131,0.1858712498559446,Kappa
Lab_17,R02,7H,Marcona,F. Glom,Gam/Tetra,0.509821074,0.5914845705727939,1.8070717710045419,0.6323639780465633,1.4046872806540809,0.7121614588798524,1.1348952926726539,0.7173356481695138,0.5674293464974128,0.4551467145217043,0.291278977232567,Kappa
Lab_18,R04,7H,Marcona,F. Glom,Carp,0.339779833,0.3461020616250929,2.092201277310264,0.46968499587858126,1.342109162057318,0.4657083766591914,1.1233107413665484,1.1608833851030045,0.6579865519490931,0.48354285984556505,0.21666100382378678,Kappa
Lab_19,R04,7H,Marcona,F. Glom,Gam/Tetra,0.565391655,0.3257995397078873,2.009971096007588,0.4466667333145532,1.4513963352318684,0.4668442725333524,1.1933819853339442,1.105940037870807,0.6809263154698914,0.4886765298039388,0.20407458211241225,Kappa
Lab_20,R01,Powder Ilo,Ilo,C.Cham,Unknown,0.631127,0.35466531507758847,2.042264181720779,0.44853185314944494,1.4044608052296594,0.5127530548995164,1.16159302367444,1.0757317662485708,0.6610126611181187,0.47732888310866567,0.2234460238451746,Kappa
Lab_21,R02,Powder Ilo,Ilo,C.Cham,Unknown,0.644241302,0.3592882772969179,2.018360796262161,0.47016452391869273,1.435779162572353,0.500888966476396,1.2019093772123224,1.0136088962611576,0.6647349781614983,0.4803248813144923,0.21677688352141417,Kappa
Lab_22,R03,Powder Ilo,Ilo,C.Cham,Unknown,0.65508,0.3054216404166958,2.1316955415052514,0.4204765939977426,1.444392231762345,0.4221658604007929,1.153165425398247,1.122682706518925,0.6934917162391998,0.4978796443544695,0.1942501269471977,Kappa
standard,NA,NA,NA,NA,NA,NA,0.3626964205159164,1.7511055807267688,0.25480079015642493,1.5371215112341006,0.7081247837161064,1.481077307784028,0.9050736058666543,0.6948258108858666,0.4125221500527867,0.24651597066966663,Kappa
