comparison,diff,lwr,upr,p adj
Lima Market Oven Dry-Lima Market Freeze Dry,-0.02737246380885859,-0.2992938447480766,0.24454891713035937,0.9999999205972149
Ilo Freeze Dry-Lima Market Freeze Dry,0.002996353303763216,-0.2689250276354548,0.27491773424298116,1
Ilo oven dry-Lima Market Freeze Dry,-0.04732016563205793,-0.43187507045552087,0.337234739191405,0.9999993308445931
Ilo Fresh-Lima Market Freeze Dry,0.18148543865348996,-0.09043594228572802,0.4534068195927079,0.49183546401946443
Lima Market Fresh-Lima Market Freeze Dry,1.15769788376106,0.8857765028218421,1.4296192647002781,2.416955524608966e-13
Ilo Freeze Dry-Lima Market Oven Dry,0.030368817112621807,-0.24155256382659618,0.30229019805183976,0.9999997599429977
Ilo oven dry-Lima Market Oven Dry,-0.01994770182319934,-0.40450260664666227,0.3646072030002636,0.9999999999393566
Ilo Fresh-Lima Market Oven Dry,0.20885790246234853,-0.06306347847686944,0.4807792834015665,0.2859525788424422
Lima Market Fresh-Lima Market Oven Dry,1.1850703475699187,0.9131489666307007,1.4569917285091367,2.410294186461215e-13
Ilo oven dry-Ilo Freeze Dry,-0.05031651893582115,-0.4348714237592841,0.33423838588764176,0.9999987247528904
Ilo Fresh-Ilo Freeze Dry,0.17848908534972674,-0.09343229558949123,0.4504104662889447,0.517009780147266
Lima Market Fresh-Ilo Freeze Dry,1.154701530457297,0.8827801495180789,1.426622911396515,2.419175970658216e-13
Ilo Fresh-Ilo oven dry,0.2288056042855479,-0.15574930053791505,0.6133605091090109,0.6586133203311918
Lima Market Fresh-Ilo oven dry,1.205018049393118,0.8204631445696551,1.5895729542165808,3.234967849152781e-12
Lima Market Fresh-Ilo Fresh,0.9762124451075702,0.7042910641683522,1.2481338260467882,2.901012763345534e-13
