"join_id","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?","car_per","t_rep_number"
"Lab_36","R05","Mendieta","Paracas","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_37","R01","Mendieta","Paracas","C.Cham",NA,"Carp",NA,NA,NA
"Lab_38","R03","Mendieta","Paracas","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_39","R04","Mendieta","Paracas","F. Glom",NA,"Gam/Tetra",NA,NA,NA
"Lab_40","R03","Mendieta","Paracas","F. Glom",NA,"Carp",NA,NA,NA
"Lab_41","R05","Mendieta","Paracas","F. Glom",NA,"Gam/Tetra",NA,NA,NA
"Lab_42","R01","Mendieta","Paracas","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_43","R04","Concession","Paracas","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_44","R03","Concession","Paracas","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_45","R02","Caro Caido","Marcona","C.Cham",NA,"Gam/Tetra",NA,0.278283867176023,2
"Lab_46","R03","Caro Caido","Marcona","C.Cham",NA,"Carp",NA,NA,NA
"Lab_47","R03","Caro Caido","Marcona","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_48","R02","7H","Marcona","F. Glom",NA,"Carp",NA,NA,NA
"Lab_49","R01","7H","Marcona","C.Cham",NA,"Gam/Tetra",NA,NA,NA
"Lab_50","R03","7H","Marcona","F. Glom",NA,"Carp",NA,NA,NA
"Lab_51","R03","7H","Marcona","C.Cham",NA,"Carp",NA,NA,NA
"Lab_52","R01","7H","Marcona","C.Cham",NA,"Carp",NA,NA,NA
"Lab_53","R04","7H","Marcona","C.Cham",NA,"Carp",NA,NA,NA
"Lab_54","R01","Ilo","Ilo","C.Cham","Ilo_01","Gam","Yes",NA,NA
"Lab_55","R02","Ilo","Ilo","C.Cham","Ilo_02","Gam","Yes",NA,NA
"Lab_56","R03","Ilo","Ilo","C.Cham","Ilo_03","Gam","Yes",NA,NA
"Lab_57","R01","Lima Market Freeze Dry","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_58","R02","Lima Market Freeze Dry","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_59","R03","Lima Market Freeze Dry","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_60","R01","Lima Market Oven Dry","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_61","R02","Lima Market Oven Dry","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_62","R03","Lima Market Oven Dry","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_63","R01","Ilo Freeze Dry","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_65","R02","Ilo Freeze Dry","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_66","R03","Ilo Freeze Dry","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_68","R03","Ilo oven dry","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_67","R02","Ilo oven dry","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_64","R01","Ilo oven dry","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_70","R01","Ilo Fresh","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_71","R02","Ilo Fresh","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_72","R03","Ilo Fresh","Ilo","C.Cham",NA,"Gam",NA,NA,NA
"Lab_73","R03","Lima Market Fresh","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_74","R02","Lima Market Fresh","Paracas","C.Cham",NA,"Gam",NA,NA,NA
"Lab_75","R03","Lima Market Fresh","Paracas","C.Cham",NA,"Gam",NA,NA,NA
