"join_id","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_21",30.2180446581631,0.246438351182231,0.0903333333333333,0.492876702364463,1.34233149652621,0.0364332063824528,0.0113137084989848,0.0728664127649056,0.949171703793967,0.0257621672934014,0.00800000000000001,0.0515243345868028,0.0444215207076143,0.147839028331722,0.125244005523817,0.147839028331722,3.14107585229728,10.4537979457391,8.85608856088562,10.4537979457391,2,2,2,2,"1,3","2,3","2,3","2,3","2","1","1","1","G08, G09, G10",10.1333333333333,"2025-06-07",3,"R02","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
"Lab_22",27.6738163634424,0.301182956680709,0.107333333333333,0.602365913361418,8.69316263485481,0.100191317551745,0.0311126983722081,0.20038263510349,6.14699424906335,0.0708459600568537,0.022,0.141691920113707,0.314129519423228,0.33265931995601,0.289869860610634,0.33265931995601,22.2123113355036,23.52256609658,20.4968944099379,23.52256609658,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"G11, H01",10.85,"2025-06-07",2,"R03","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
"Lab_23",45.7817997037888,1.12449888643233,0.363,2.24899777286466,3.14353486119342,0.0933600913550351,0.0289913780286484,0.18672018271007,2.22281481724618,0.0660155536893409,0.0205,0.132031107378682,0.0686634182476942,0.0830237294865062,0.0798660551753401,0.0830237294865062,4.85523686623928,5.87066421193062,5.6473829201102,5.87066421193062,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D03, D04",24.55,"2025-05-30",2,"R01","Ilo mariculture","Ilo","C.Cham","many","Gam","Yes"
"Lab_24",36.0727825563356,0.92967249627598,0.3025,1.85934499255196,1.29245450259856,0.022770753989033,0.00707106781186548,0.045541507978066,0.913903343162531,0.0161013545583759,0.005,0.0322027091167517,0.0358290769662726,0.0244933071379938,0.0233754307830264,0.0244933071379938,2.53349832865061,1.73193835709604,1.65289256198347,1.73193835709604,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D05, D06",25.8,"2025-05-30",2,"R02","Ilo mariculture","Ilo","C.Cham","many","Gam","Yes"
"Lab_25",45.5991692386615,1.16797254373994,0.3765,2.33594508747988,7.02136007823579,0.100191317551745,0.0311126983722081,0.20038263510349,4.96485132447303,0.0708459600568537,0.022,0.141691920113707,0.153979999975146,0.0857822541195399,0.0826366490629696,0.0857822541195399,10.888030214953,6.06572135933944,5.84329349269589,6.06572135933944,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D07, D08",25.75,"2025-05-30",2,"R03","Ilo mariculture","Ilo","C.Cham","many","Gam","Yes"
"Lab_26",35.9626772190143,0.947383986290193,0.308,1.89476797258039,6.57774573855279,0.170780654917747,0.0530330085889911,0.341561309835495,4.65116861665159,0.120760159187819,0.0375,0.241520318375638,0.182904784827171,0.18026550732243,0.1721850928214,0.18026550732243,12.9333213662759,12.7466962641723,12.1753246753247,12.7466962641723,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D09, D10",26.35,"2025-05-30",2,NA,NA,NA,NA,NA,NA,NA
"Lab_35",37.8556956054002,0.913571141717604,0.2975,1.82714228343521,9.29426388484647,0.159395277923231,0.0494974746830583,0.318790555846462,6.57203701911216,0.112709481908631,0.035,0.225418963817262,0.245518243324015,0.174474948522949,0.166378066161541,0.174474948522949,17.360761475942,12.3372419247751,11.764705882353,12.3372419247751,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"D11, D12",24.35,"2025-05-30",2,"Carp 01","Mendieta","Paracas","C.Cham",NA,"Carp","No"
"Lab_36",34.41629130836,0.903910328982578,0.2945,1.80782065796516,1.05017788624087,0.0592039603714856,0.0183847763108502,0.118407920742971,0.742587904813071,0.0418635218517771,0.013,0.0837270437035542,0.0305139759781662,0.065497603548932,0.0624270842473691,0.065497603548932,2.15766393351247,4.63137996209179,4.41426146010187,4.63137996209179,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"E01, E02",26.25,"2025-05-30",2,"R05","Mendieta","Paracas","C.Cham",NA,"Gam/Tetra",NA
"Lab_37",43.0214223863551,1.09068604185974,0.3525,2.18137208371948,0.114347609539867,0.0728664127649054,0.0226274169979695,0.145732825529811,0.0808559701181117,0.0515243345868026,0.016,0.103048669173605,0.00265792256966693,0.0668078713473405,0.0641912538949489,0.0668078713473405,0.187943507288034,4.72402988663429,4.53900709219859,4.72402988663429,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"E03, E04",25.35,"2025-05-30",2,"R01","Mendieta","Paracas","C.Cham",NA,"Carp",NA
"Lab_38",28.5585721217712,0.723575157928769,0.2385,1.44715031585754,4.24170563101691,0.159395277923231,0.0494974746830583,0.318790555846462,2.99933881548922,0.112709481908631,0.035,0.225418963817262,0.148526530420732,0.220288488592531,0.207536581480328,0.220288488592531,10.502411684661,15.5767484101115,14.6750524109015,15.5767484101115,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,"E05, E06",25.2,"2025-05-30",2,"R03","Mendieta","Paracas","C.Cham",NA,"Gam/Tetra",NA
