"join_id","Protein_mg_in_reaction_mean","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","sample weight_mean","Protein_mg_in_reaction_sd","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","sample weight_sd","Protein_mg_in_reaction_se","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","sample weight_se","Protein_mg_in_reaction_cv","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","sample weight_cv","Protein_mg_in_reaction_max_dev_pct","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","sample weight_max_dev_pct","Protein_mg_in_reaction_n","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","sample weight_n","Protein_mg_in_reaction_included_rows","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","sample weight_included_rows","Protein_mg_in_reaction_excluded_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","sample weight_excluded_rows","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_11",0.658138692527897,323.307332821364,8.22673365659871,0.3175,1.64534673131974,21.5,0.426876526084262,208.276929707252,5.33595657605328,0.165462986797652,1.06719131521066,0.707106781186548,0.301847286323538,147.274029360712,3.77309107904422,0.117,0.754618215808845,0.5,0.648611806190331,0.644207255955841,0.648611806190331,0.521143265504416,0.648611806190331,0.0328886874970487,45.8637806514838,45.5523319175953,45.8637806514838,36.8503937007874,45.8637806514838,2.32558139534884,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.4,NA,2,"R02","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
"Lab_12",0.68909738856108,350.87105687548,8.6137173570135,0.3295,1.7227434714027,23.5,0.00729703463391903,4.72599850459733,0.0912129329239888,0.00282842712474619,0.0182425865847975,0.707106781186548,0.00515978267219724,3.34178559047825,0.0644972834024662,0.002,0.0128994566804931,0.5,0.0105892646744115,0.0134693312884868,0.0105892646744116,0.00858399734369102,0.0105892646744114,0.0300896502632573,0.748774085905558,0.952425549213715,0.748774085905568,0.606980273141123,0.748774085905555,2.12765957446809,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,24.55,NA,2,"R03","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
"Lab_13",0.823251738038208,406.914087992554,10.2906467254776,0.3815,2.05812934509552,25.5,0.102158484874866,70.6652811299055,1.27698106093583,0.0395979797464467,0.255396212187165,0.707106781186548,0.0722369574107612,49.96789948141,0.902961967634515,0.028,0.180592393526903,0.5,0.124091429334006,0.173661426859221,0.124091429334006,0.103795490816374,0.124091429334006,0.0277296776935901,8.77458911692071,12.2797172562687,8.77458911692072,7.33944954128441,8.77458911692071,1.96078431372549,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.4,NA,2,"R01","Caro Caido","Marcona","C.Cham","many","Tetra","Yes"
"Lab_14",0.5588128760881,270.616911424095,6.98516095110125,0.279,1.39703219022025,27.5,0.191547159140374,85.719238758091,2.39433948925468,0.0742462120245875,0.478867897850935,0.707106781186548,0.135444295145177,60.6126550039949,1.69305368931472,0.0525,0.338610737862943,0.5,0.342775135178123,0.316754922325444,0.342775135178123,0.26611545528526,0.342775135178123,0.025712973861329,24.2378622506586,22.397955355054,24.2378622506586,18.8172043010753,24.2378622506586,1.81818181818182,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.7,NA,2,"R02","Caro Caido","Marcona","C.Cham","CC10","Carp","Yes"
"Lab_15",0.542043582403459,267.960499889105,6.77554478004324,0.2725,1.35510895600865,29.5,0.178777348531016,79.061517459541,2.2347168566377,0.0692964645562816,0.446943371327539,0.707106781186548,0.126414675468832,55.9049351265401,1.5801834433604,0.049,0.31603668867208,0.5,0.329820985497706,0.295049149006143,0.329820985497706,0.254298952500116,0.329820985497706,0.0239697213961542,23.3218655423058,20.8631254045564,23.3218655423058,17.9816513761468,23.3218655423058,1.69491525423729,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.15,NA,2,"R03","Caro Caido","Marcona","C.Cham","CC11","Gam","No"
"Lab_16",0.478836244669043,227.811173229406,5.98545305836304,0.248,1.19709061167261,31.5,0.249923436211726,110.242462768218,3.12404295264658,0.096873629022557,0.624808590529315,0.707106781186548,0.176722556522755,77.9531929981121,2.20903195653444,0.0685,0.441806391306888,0.5,0.521939262105077,0.4839203503737,0.521939262105077,0.390619471865149,0.521939262105077,0.0224478343233825,36.9066791602003,34.2183361303413,36.9066791602003,27.6209677419355,36.9066791602003,1.58730158730159,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,26,NA,2,"R01","7H","Marcona","F. Glom","many","Carp",NA
"Lab_17",0.533013962727114,255.899240949983,6.66267453408892,0.269,1.33253490681778,33.5,0.282760092064362,121.571951153186,3.53450115080452,0.109601551083915,0.706900230160904,0.707106781186548,0.199941578547643,85.9643510624972,2.49926973184553,0.0775,0.499853946369107,0.5,0.53049284228437,0.475077419932432,0.53049284228437,0.407440710349126,0.53049284228437,0.0211076651100462,37.5115086150204,33.5930465222832,37.5115086150203,28.8104089219331,37.5115086150204,1.49253731343284,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.65,NA,2,"R02","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_18",0.556232984752001,267.946733551104,6.95291230940002,0.278,1.39058246188,35.5,0.0164183279263178,8.6387589328728,0.205229099078972,0.00636396103067893,0.0410458198157944,0.707106781186548,0.0116095110124438,6.10852502247022,0.145118887655547,0.0045,0.0290237775311094,0.5,0.029516998050085,0.0322405831128566,0.029516998050085,0.0228919461535213,0.029516998050085,0.0199185008784943,2.08716694814852,2.27975349485095,2.08716694814852,1.61870503597122,2.08716694814853,1.40845070422535,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,25.95,NA,2,"R04","7H","Marcona","F. Glom","many","Carp",NA
"Lab_19",0.747144943623299,386.829084207603,9.33931179529123,0.352,1.86786235905825,37.5,0.140467916702941,73.8385882255528,1.75584895878676,0.0544472221513642,0.351169791757352,0.707106781186548,0.0993258164397966,52.2117664475295,1.24157270549746,0.0385,0.248314541099492,0.5,0.188006246849156,0.190881687132721,0.188006246849156,0.154679608384557,0.188006246849156,0.0188561808316413,13.294049205247,13.4973735375876,13.2940492052471,10.9375,13.294049205247,1.33333333333333,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,24.15,NA,2,"R04","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_23",0.775523748320384,394.636227228692,9.69404685400479,0.363,1.93880937080096,39.5,0.0747946049976698,32.3994943496225,0.934932562470873,0.0289913780286484,0.186986512494175,0.707106781186548,0.0528877723900216,22.9099021616333,0.66109715487527,0.0205,0.132219430975054,0.5,0.0964439904769631,0.0820996454814752,0.0964439904769632,0.0798660551753401,0.0964439904769632,0.0179014374983936,6.81961996709515,5.80532160529626,6.81961996709515,5.6473829201102,6.81961996709515,1.26582278481013,2,2,2,2,2,2,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,24.55,NA,2,"R01","Ilo mariculture","Ilo","C.Cham","many","Gam","Yes"
