"diff","lwr","upr","p adj","comparison"
0.00257774751982071,-0.12138135639163,0.126536851431271,1,"Lima Market Oven Dry-7H"
0.0336732223578111,-0.0902858815536391,0.157632326269261,0.99823266026432,"Ilo Freeze Dry-7H"
-0.0039944655518698,-0.198201057741336,0.190212126637596,1,"Ilo oven dry-7H"
0.139572639052537,0.0156135351410866,0.263531742963987,0.0158089258028727,"Ilo Fresh-7H"
0.170358623147554,-0.0238479690419121,0.364565215337021,0.135008902764235,"Lima Market Fresh-7H"
-0.0986070105633065,-0.248107314935291,0.0508932938086778,0.506603361833899,"Ilo mariculture-Powder Ilo"
-0.0733850278165763,-0.222885332188561,0.076115276555408,0.860575267921298,"Lima Market Freeze Dry-Powder Ilo"
-0.106696714039206,-0.256197018411191,0.042803590332778,0.388013314583487,"Lima Market Oven Dry-Powder Ilo"
-0.0756012392012159,-0.2251015435732,0.0738990651707684,0.836465449217432,"Ilo Freeze Dry-Powder Ilo"
-0.113268927110897,-0.324694285132663,0.0981564309108691,0.781580693098175,"Ilo oven dry-Powder Ilo"
0.0302981774935098,-0.119202126878475,0.179798481865494,0.999886160253777,"Ilo Fresh-Powder Ilo"
0.0610841615885272,-0.150341196433239,0.272509519610293,0.996966574723911,"Lima Market Fresh-Powder Ilo"
0.0252219827467303,-0.124278321625254,0.174722287118715,0.999981659982195,"Lima Market Freeze Dry-Ilo mariculture"
-0.0080897034758998,-0.157590007847884,0.141410600896085,0.999999999899017,"Lima Market Oven Dry-Ilo mariculture"
0.0230057713620906,-0.126494533009894,0.172506075734075,0.999992822489866,"Ilo Freeze Dry-Ilo mariculture"
-0.0146619165475903,-0.226087274569356,0.196763441474176,0.999999998498343,"Ilo oven dry-Ilo mariculture"
0.128905188056816,-0.020595116315168,0.278405492428801,0.150777117165082,"Ilo Fresh-Ilo mariculture"
0.159691172151834,-0.0517341858699322,0.3711165301736,0.30677642060441,"Lima Market Fresh-Ilo mariculture"
-0.0333116862226301,-0.182811990594614,0.116188618149354,0.999715790719803,"Lima Market Oven Dry-Lima Market Freeze Dry"
-0.00221621138463969,-0.151716515756624,0.147284092987345,1,"Ilo Freeze Dry-Lima Market Freeze Dry"
-0.0398838992943206,-0.251309257316087,0.171541458727445,0.999943793366094,"Ilo oven dry-Lima Market Freeze Dry"
0.103683205310086,-0.0458170990618983,0.25318350968207,0.430801387257597,"Ilo Fresh-Lima Market Freeze Dry"
0.134469189405103,-0.0769561686166625,0.345894547426869,0.560871335350106,"Lima Market Fresh-Lima Market Freeze Dry"
0.0310954748379904,-0.118404829533994,0.180595779209975,0.999853409343784,"Ilo Freeze Dry-Lima Market Oven Dry"
-0.00657221307169051,-0.217997571093456,0.204853144950075,1,"Ilo oven dry-Lima Market Oven Dry"
0.136994891532716,-0.0125054128392681,0.2864951959047,0.0999636979410879,"Ilo Fresh-Lima Market Oven Dry"
0.167780875627734,-0.0436444823940324,0.379206233649499,0.24196097412609,"Lima Market Fresh-Lima Market Oven Dry"
