"join_id","Xred","X564","X565","X592","X455","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample"
"D02",25669.3333333333,0.0373333333333333,0.0383333333333333,0.0213333333333333,0.0463333333333333,"Lab_71",20.536,"A06",2025-05-15,0.00132,0.00198,0.0964160498636541
"D03",14241.3333333333,0.016,0.016,0.006,0.023,"Lab_72",15.5465,"A07",2025-05-15,0.000792,0.001188,0.0764159135496736
"D04",64701.3333333333,0.0593333333333333,0.0593333333333333,0.0213333333333333,0.0533333333333333,"Lab_72",18.955,"A08",2025-05-15,0.003792,0.005688,0.30007913479293
"D05",60610.3333333333,0.0533333333333333,0.0543333333333333,0.0183333333333333,0.0433333333333333,"Lab_72",18.768,"A09",2025-05-15,0.0036,0.0054,0.28772378516624
"D06",13391.3333333333,0.00833333333333334,0.00833333333333334,0.00133333333333333,0.0103333333333333,"juice ilo",15.2745,"A10",2025-05-15,0.000624000000000001,0.000936000000000001,0.0612786015908868
"D07",5451.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D08",5893.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D09",47067.3333333333,0.0393333333333333,0.0393333333333333,0.0143333333333333,0.0243333333333333,"juice fresh  R2",19.057,"A13",2025-05-15,0.00276,0.00414,0.217243007818649
"D10",41620.3333333333,0.0353333333333333,0.0363333333333333,0.0153333333333333,0.0263333333333333,"juice fresh R2",14.076,"A14",2025-05-15,0.002136,0.003204,0.227621483375959
"D11",71281.3333333333,0.056,0.057,0.016,0.026,"juice fresh R2",13.77,"A15",2025-05-15,0.00456,0.00684,0.496732026143791
"D12",16179.3333333333,0.0283333333333333,0.0283333333333333,0.0153333333333333,0.0403333333333333,"Lab_73",18.0285,"A16",2025-05-15,0.00096,0.00144,0.0798735335718445
"E01",62631.3333333333,0.0783333333333333,0.0773333333333333,0.0363333333333333,0.0483333333333333,"Lab_73",14.637,"B01",2025-05-15,0.004752,0.007128,0.486985037917606
"E02",NA,0.147333333333333,0.149333333333333,0.0463333333333333,0.0503333333333333,"Lab_73",19.0655,"B02",2025-05-15,0.012024,0.018036,0.946001940678188
"E03",NA,0.258,0.262,0.06,0.069,"Lab_74",20.0005,"B03",2025-05-15,0.023544,0.035316,1.7657558561036
"E04",NA,0.311333333333333,0.316333333333333,0.132333333333333,0.0733333333333333,"Lab_74",16.235,"B04",2025-05-15,0.022896,0.034344,2.11542962734832
"E05",NA,0.129333333333333,0.131333333333333,0.0433333333333333,0.0613333333333333,"Lab_74",15.5295,"B05",2025-05-15,0.009888,0.014832,0.95508548246885
"F02",12.3333333333333,0.0123333333333333,0.0123333333333333,0.0113333333333333,0.0153333333333333,"Ilo oven dry R02",25.3,"F04",2025-05-15,2.4e-05,3.6e-05,0.00142292490118577
"F03",24.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G01",10.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G05",8.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H11",6.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
